num_target;   la; isd; niter;     tex; tr_acc; te_acc;  L*
         1;  0.0; 1;     4;  0.1037;  100.0;  100.0;  6.28e-09;
         1;  0.0; 3;     4;  0.0604;  100.0;  100.0;  1.80e-10;
         1;  0.0; 7;  1001;  0.1111;   78.0;   70.4;  5.00e-05;
         1;  1.0; 1;   134;  1.4203;  100.0;  100.0;  3.47e+00;
         1;  1.0; 3;    21;  1.7346;  100.0;  100.0;  3.47e+00;
         1;  1.0; 7;   409;  0.3439;   94.0;   95.2;  7.45e-01;
         1; 10.0; 1;    61;  1.0335;  100.0;  100.0;  1.43e+01;
         1; 10.0; 3;    30;  0.4431;  100.0;  100.0;  1.43e+01;
         1; 10.0; 7;  1001;  0.1745;   58.4;   48.4;       Inf;
         2;  0.0; 1;  1001;  5.5946;  100.0;  100.0;  9.85e-04;
         2;  0.0; 3;    92;  0.7569;  100.0;   94.4;  2.02e-07;
         2;  0.0; 7;    87;  0.0802;   94.0;   93.2;  3.13e-10;
         2;  1.0; 1;   118;  1.9388;  100.0;   99.6;  7.02e+00;
         2;  1.0; 3;    26;  0.3681;  100.0;   99.6;  7.02e+00;
         2;  1.0; 7;   542;  0.1822;   94.4;   93.2;  9.43e-01;
         2; 10.0; 1;   112;  2.2540;   96.8;   95.2;  2.15e+01;
         2; 10.0; 3;    29;  0.4785;   96.8;   95.2;  2.15e+01;
         2; 10.0; 7;  1001;  0.2726;   55.2;   50.8;       Inf;
         3;  0.0; 1;  1001;  6.7505;  100.0;   96.4;  2.60e-03;
         3;  0.0; 3;   334;  5.4473;   97.6;   85.2;  6.00e+00;
         3;  0.0; 7;  1001;  0.2362;   54.4;   49.2;  4.00e+00;
         3;  1.0; 1;   551; 11.4453;   99.6;   97.2;  1.04e+01;
         3;  1.0; 3;    26;  0.4578;   99.6;   97.2;  1.04e+01;
         3;  1.0; 7;   717;  0.2455;   84.4;   79.2;  1.71e+00;
         3; 10.0; 1;    47;  1.1512;   97.2;   94.8;  2.86e+01;
         3; 10.0; 3;    30;  0.5811;   97.2;   94.8;  2.86e+01;
         3; 10.0; 7;  1001;  0.2065;   54.4;   49.2;       Inf;
         4;  0.0; 1;  1001;  5.5458;  100.0;  100.0;  2.88e-07;
         4;  0.0; 3;  1001; 34.7929;   99.6;   99.2;  8.83e-01;
         4;  0.0; 7;  1001;  0.1372;   95.2;   94.4;  3.50e-06;
         4;  1.0; 1;   104;  1.5508;  100.0;  100.0;  3.35e+00;
         4;  1.0; 3;    21;  0.2433;  100.0;  100.0;  3.35e+00;
         4;  1.0; 7;   506;  0.1006;   97.2;   96.4;  8.49e-01;
         4; 10.0; 1;    41;  0.6039;  100.0;  100.0;  1.38e+01;
         4; 10.0; 3;    28;  0.3294;  100.0;  100.0;  1.38e+01;
         4; 10.0; 7;  1001;  0.1389;   55.2;   51.6;       Inf;
         5;  0.0; 1;  1001;  3.7674;  100.0;   99.6;  5.87e-04;
         5;  0.0; 3;   109;  0.7757;  100.0;   98.0;  1.53e-07;
         5;  0.0; 7;  1001;  0.1526;   53.6;   52.0;  4.00e+00;
         5;  1.0; 1;   255;  4.0570;  100.0;   99.6;  5.29e+00;
         5;  1.0; 3;    23;  0.1985;  100.0;   99.6;  5.29e+00;
         5;  1.0; 7;   612;  0.0899;   96.0;   94.8;  1.05e+00;
         5; 10.0; 1;   116;  1.3150;   99.6;  100.0;  1.85e+01;
         5; 10.0; 3;    31;  0.3270;   99.6;  100.0;  1.85e+01;
         5; 10.0; 7;  1001;  0.1294;   53.6;   52.0;       Inf;
         6;  0.0; 1;  1001;  3.1472;  100.0;  100.0;  2.58e-04;
         6;  0.0; 3;  1001; 16.5001;   98.8;   96.4;  3.00e+00;
         6;  0.0; 7;     2;  0.0490;   55.2;   51.2;  4.00e+00;
         6;  1.0; 1;    77;  0.7637;  100.0;  100.0;  6.75e+00;
         6;  1.0; 3;    25;  0.2176;  100.0;  100.0;  6.75e+00;
         6;  1.0; 7;   676;  0.0919;   94.0;   93.2;  1.34e+00;
         6; 10.0; 1;    96;  1.1655;   99.6;  100.0;  2.17e+01;
         6; 10.0; 3;    27;  0.2805;   99.6;  100.0;  2.17e+01;
         6; 10.0; 7;  1001;  0.1111;   55.2;   51.2;       Inf;
         7;  0.0; 1;  1001;  3.1197;  100.0;  100.0;  6.37e-05;
         7;  0.0; 3;  1001; 16.3270;   94.4;   94.0;  1.39e+01;
         7;  0.0; 7;     3;  0.0472;   93.2;   92.8;  2.53e-14;
         7;  1.0; 1;    53;  0.4758;  100.0;  100.0;  4.18e+00;
         7;  1.0; 3;    21;  0.1902;  100.0;  100.0;  4.18e+00;
         7;  1.0; 7;   455;  0.0836;   94.0;   93.2;  8.27e-01;
         7; 10.0; 1;    39;  0.5748;  100.0;  100.0;  1.57e+01;
         7; 10.0; 3;    30;  0.3350;  100.0;  100.0;  1.57e+01;
         7; 10.0; 7;  1001;  0.1451;   65.2;   60.0;       Inf;
         8;  0.0; 1;  1001;  3.3025;   99.6;   96.8;  1.00e+00;
         8;  0.0; 3;   920; 10.4888;   93.2;   84.8;  1.70e+01;
         8;  0.0; 7;     2;  0.0465;   53.2;   51.2;  2.00e+00;
         8;  1.0; 1;   198;  2.0710;   98.4;   98.4;  1.31e+01;
         8;  1.0; 3;    26;  0.2178;   98.4;   98.4;  1.31e+01;
         8;  1.0; 7;   611;  0.0828;   62.4;   56.4;  1.08e+00;
         8; 10.0; 1;   129;  1.5576;   94.0;   93.6;  3.12e+01;
         8; 10.0; 3;    33;  0.3107;   94.0;   93.6;  3.12e+01;
         8; 10.0; 7;  1001;  0.0999;   53.2;   51.2;       Inf;
         9;  0.0; 1;  1001;  3.7292;  100.0;   97.6;  3.89e-03;
         9;  0.0; 3;  1001; 13.2570;   98.0;   91.2;  4.92e+00;
         9;  0.0; 7;  1001;  0.1061;   54.4;   49.6;  4.00e+00;
         9;  1.0; 1;   485;  4.3226;   99.2;   99.2;  9.67e+00;
         9;  1.0; 3;    25;  0.2003;   99.2;   99.2;  9.67e+00;
         9;  1.0; 7;   723;  0.0863;   83.2;   77.2;  1.64e+00;
         9; 10.0; 1;    70;  0.7218;   98.4;   98.8;  2.74e+01;
         9; 10.0; 3;    30;  0.2613;   98.4;   98.8;  2.74e+01;
         9; 10.0; 7;  1001;  0.1009;   54.4;   49.6;       Inf;
         0;  0.0; 1;  1001;  2.8955;  100.0;   98.8;  1.47e-03;
         0;  0.0; 3;  1001; 13.8835;   97.6;   94.0;  6.00e+00;
         0;  0.0; 7;     2;  0.0419;   54.4;   49.2;  3.00e+00;
         0;  1.0; 1;   339;  3.0175;  100.0;   99.2;  7.82e+00;
         0;  1.0; 3;    26;  0.1991;  100.0;   99.2;  7.82e+00;
         0;  1.0; 7;   671;  0.0773;   80.0;   75.2;  1.20e+00;
         0; 10.0; 1;    38;  0.3851;   99.6;   99.2;  2.42e+01;
         0; 10.0; 3;    28;  0.2513;   99.6;   99.2;  2.42e+01;
         0; 10.0; 7;  1001;  0.0997;   54.4;   49.2;       Inf;
